model,fold,seed,best_macro_f1,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,weighted_f1,run_id,f1_Bacteria,f1_Fungi,f1_Healthy,f1_Nematode,f1_Pest,f1_Phytopthora,f1_Virus
mobilenetv2_100,0,42,0.6168776672905045,25,0.6443594646271511,0.6867172696839593,0.6083905755981897,0.6867172696839593,0.6516979045526444,7f4f25205a42406cb42a12a781327a76,0.875,0.5663716814159292,0.6521739130434783,0.32727272727272727,0.56,0.6666666666666666,0.6706586826347305
mobilenetv2_100,1,42,0.6779047179636908,19,0.7074569789674953,0.741951099920598,0.6703353307216746,0.741951099920598,0.7129316489537794,e96452c545024b438dba4e33ac917dc9,0.898989898989899,0.6146788990825688,0.5773195876288659,0.46511627906976744,0.6509433962264151,0.7663551401869159,0.7719298245614035
mobilenetv2_100,2,42,0.6827020747622052,22,0.7151051625239006,0.7675132019040324,0.6713122744534105,0.7675132019040324,0.7248813389913419,72cccb9b4f904d608d8f4e17a04c7f11,0.8864864864864865,0.672566371681416,0.6185567010309279,0.4230769230769231,0.6631016042780749,0.768,0.7471264367816092
mobilenetv2_100,0,137,0.670164151482332,23,0.6940726577437859,0.735615322133918,0.6553701109027587,0.735615322133918,0.6996156464778326,24db0890bf9f4396a39f3a5484f979ac,0.8571428571428571,0.6666666666666666,0.5882352941176471,0.5128205128205128,0.6294416243654822,0.7368421052631579,0.7
mobilenetv2_100,1,137,0.7004994214807306,16,0.722753346080306,0.7499957712729597,0.6898803584034301,0.7499957712729597,0.7265057152192029,ee2bf7b8f32743d69fb9b28ee1f60500,0.9206349206349206,0.6638297872340425,0.6382978723404256,0.5714285714285714,0.6728110599078341,0.6923076923076923,0.7441860465116279
mobilenetv2_100,2,137,0.6875198283038534,12,0.6959847036328872,0.760136523800378,0.6616823597401054,0.760136523800378,0.6958984716794229,68b5357970fc41f5ab9b95cb9be6eeba,0.8571428571428571,0.6175115207373272,0.6021505376344086,0.6486486486486487,0.6262626262626263,0.7286821705426356,0.73224043715847
mobilenetv2_100,0,2026,0.6471471031493571,24,0.6577437858508605,0.7387236336842385,0.636320956623081,0.7387236336842385,0.664509147023278,f156265dfe7d436089a27b9d483f4453,0.8961748633879781,0.5714285714285714,0.5794392523364486,0.4897959183673469,0.5320197044334976,0.7863247863247863,0.6748466257668712
mobilenetv2_100,1,2026,0.6999496392775741,24,0.734225621414914,0.7640500420423579,0.6886797799216398,0.7640500420423579,0.7430930302819659,178cc6d421694ddfa66e34f87dab179a,0.9424083769633508,0.7304347826086957,0.5979381443298969,0.46511627906976744,0.6305418719211823,0.8070175438596491,0.7261904761904762
mobilenetv2_100,2,2026,0.7112194906492008,24,0.7437858508604207,0.7701550180339221,0.698318554594852,0.7701550180339221,0.7513454866028837,ed5eaeb5429f4f9c9bf91ad4bb508dcf,0.9052631578947369,0.7355371900826446,0.5858585858585859,0.5263157894736842,0.6871794871794872,0.7899159663865546,0.7484662576687117
vit_base_patch16_224,0,42,0.8791300854153387,10,0.887189292543021,0.8789051241710373,0.8816167743135138,0.8789051241710373,0.8865136237600584,40b322c122e84c2f87f00fc17196f2f4,0.9633507853403142,0.8333333333333334,0.927536231884058,0.782608695652174,0.8571428571428571,0.864406779661017,0.925531914893617
vit_base_patch16_224,1,42,0.8787956238941355,8,0.8948374760994264,0.8958348970758593,0.867636201314553,0.8958348970758593,0.8955193275158158,2fdfa164e5294e31a5f57ebbfe9c9e24,0.9948717948717949,0.8951612903225806,0.8333333333333334,0.8148148148148148,0.8532110091743119,0.8739495798319328,0.8862275449101796
vit_base_patch16_224,2,42,0.8960090307978918,11,0.9082217973231358,0.9209542357968765,0.8788865969867913,0.9209542357968765,0.9085269692805216,8cfcef061c8f4183909dbea2d6d7dda5,0.9895833333333334,0.8844621513944223,0.8571428571428571,0.8275862068965517,0.87,0.9243697478991597,0.918918918918919
vit_base_patch16_224,0,137,0.8573916893151144,14,0.8795411089866156,0.9070690451066431,0.8331065399365404,0.9070690451066431,0.8814426838100942,e50b8a1514394d1fb73e4ac824f265b0,0.968421052631579,0.847457627118644,0.8717948717948718,0.7058823529411765,0.8651162790697674,0.8235294117647058,0.9195402298850575
vit_base_patch16_224,1,137,0.8717259823578557,9,0.8833652007648184,0.8991895258241888,0.8560247237668145,0.8991895258241888,0.8838961115050564,9e92d7e33b594e37aa23350541fdcd77,0.9748743718592965,0.8786610878661087,0.8108108108108109,0.8571428571428571,0.8584474885844748,0.8387096774193549,0.8834355828220859
