model,fold,seed,phase,best_macro_f1,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,weighted_f1,total_run_time_s,run_id,f1_Bacteria,f1_Fungi,f1_Healthy,f1_Nematode,f1_Pest,f1_Phytopthora,f1_Virus
mobilenetv2_100,0,42,final,0.8020296778687408,25,0.8202676864244742,0.8435048754581915,0.7826373439147257,0.8435048754581915,0.8213605403148423,281.798823595047,0a14273919074b2f862457b0b425382c,0.9543147208121827,0.7717842323651453,0.7529411764705882,0.7096774193548387,0.780952380952381,0.7857142857142857,0.8588235294117647
mobilenetv2_100,1,42,final,0.8256649206229201,25,0.8508604206500956,0.8637672992154578,0.8134878209069044,0.8637672992154578,0.8535748316967742,282.40147972106934,fba5688b5120463a91a0313c668580f1,0.9743589743589743,0.856,0.7901234567901234,0.6666666666666666,0.7793427230046949,0.8679245283018868,0.8452380952380952
mobilenetv2_100,2,42,final,0.8163523672287171,14,0.8432122370936902,0.8588389970287841,0.7969669737124887,0.8588389970287841,0.8463921804838361,233.32693934440613,027169cac184436c8ecbcb4b8d2f670e,0.9230769230769231,0.8421052631578947,0.7058823529411765,0.6875,0.835820895522388,0.896551724137931,0.8235294117647058
mobilenetv2_100,3,42,final,0.8129708017209433,17,0.8298279158699808,0.863048425856653,0.7903171798923571,0.863048425856653,0.8331618177926445,262.2633430957794,1eccb736686a45faaebd094ebbd85be6,0.9441624365482234,0.8017241379310345,0.6304347826086957,0.7857142857142857,0.7939698492462312,0.8760330578512396,0.8587570621468926
mobilenetv2_100,4,42,final,0.835693091458521,25,0.8697318007662835,0.8584286874093073,0.8234111035718634,0.8584286874093073,0.8712498796511225,286.73670959472656,944dc1d4baf9487980f8b97db25cebe3,0.9574468085106383,0.8517110266159695,0.8395061728395061,0.6153846153846154,0.8367346938775511,0.8347826086956521,0.9142857142857143
mobilenetv2_100,0,137,final,0.80401229744042,25,0.8298279158699808,0.8307145970024955,0.7906557592722532,0.8307145970024955,0.8316994153386065,283.90959072113037,ae43103a56524decab03901a39e74cc2,0.9393939393939394,0.823045267489712,0.7126436781609196,0.6923076923076923,0.7821782178217822,0.8264462809917356,0.8520710059171598
mobilenetv2_100,1,137,final,0.8357431191611122,18,0.8527724665391969,0.8726758317354154,0.8198617424637302,0.8726758317354154,0.8551243482157124,275.8226330280304,4777dc142cc04b45af556f978d9fa230,0.96875,0.8064516129032258,0.7951807228915663,0.7096774193548387,0.8056872037914692,0.8807339449541285,0.8837209302325582
mobilenetv2_100,2,137,final,0.8418699175153898,16,0.8604206500956023,0.8765478581318202,0.8201354323020382,0.8765478581318202,0.8613052273362297,252.2918267250061,883b89f77c7f4009a5d14d57fe93a9aa,0.9591836734693877,0.8264462809917356,0.75,0.7586206896551724,0.8514851485148515,0.9016393442622951,0.8457142857142858
mobilenetv2_100,3,137,final,0.8355493167089855,15,0.8527724665391969,0.8762689175468693,0.8181323885163457,0.8762689175468693,0.8558587975799897,239.93049216270447,029356cecf2e4a3eab23c182533d07bd,0.9547738693467337,0.8403361344537815,0.6881720430107527,0.7692307692307693,0.7738693467336684,0.9310344827586207,0.8914285714285715
mobilenetv2_100,4,137,final,0.8104408662300228,13,0.8467432950191571,0.8519103702980084,0.7918304142784113,0.8519103702980084,0.8500575012616115,221.5627954006195,037dd672b4ac498dbcf2b5123b55647a,0.9583333333333334,0.8548387096774194,0.7415730337078652,0.6206896551724138,0.81,0.8305084745762712,0.8571428571428571
mobilenetv2_100,0,2026,final,0.8064218718341095,16,0.8260038240917782,0.8458938067852719,0.786699821798344,0.8458938067852719,0.8270163757134333,252.3426809310913,8735897dcb0d4412ac9c8a81a68a8119,0.9285714285714286,0.8114754098360656,0.7415730337078652,0.7142857142857143,0.7643979057591623,0.8225806451612904,0.8620689655172413
mobilenetv2_100,1,2026,final,0.8386301442426369,23,0.8604206500956023,0.8695311753257748,0.8261074581706025,0.8695311753257748,0.8624469865193098,284.7090768814087,ba0edc94e51340bb8de98e447cc257dd,0.9644670050761421,0.8617886178861789,0.7654320987654321,0.7333333333333333,0.8130841121495327,0.8785046728971962,0.8538011695906432
mobilenetv2_100,2,2026,final,0.8573254036320789,13,0.8680688336520076,0.8786096830678554,0.8417066965431477,0.8786096830678554,0.8682394990252155,215.9191951751709,ac3522803e1b45809b013203cd3546df,0.934010152284264,0.8559670781893004,0.8169014084507042,0.7857142857142857,0.8349514563106796,0.9322033898305084,0.8415300546448088
mobilenetv2_100,3,2026,final,0.8052780864945298,17,0.8374760994263862,0.8625054609523078,0.7863055533038166,0.8625054609523078,0.8424759719328325,253.3028552532196,675c04b50ea74fdca5fd3a1f37638889,0.96875,0.8433734939759037,0.6444444444444445,0.6666666666666666,0.7684210526315789,0.8849557522123894,0.8603351955307262
mobilenetv2_100,4,2026,final,0.8114149655852223,15,0.8505747126436781,0.8599052758111928,0.7907533658276739,0.8599052758111928,0.8544464879240339,233.8525161743164,e993f6f9ef47477b99651191cf75b679,0.9621621621621622,0.8512396694214877,0.7640449438202247,0.5806451612903226,0.8,0.8305084745762712,0.8913043478260869
resnet50,0,42,final,0.8861804289996831,19,0.8833652007648184,0.9050284143922277,0.8738765426105578,0.9050284143922277,0.8833600738322015,280.4434537887573,1e70b8d2a6594123ad77fa036cbc8411,0.9693877551020408,0.8429752066115702,0.8,0.96,0.8446601941747572,0.8521739130434782,0.9340659340659341
resnet50,1,42,final,0.8754172392587135,17,0.8814531548757171,0.8936408583561614,0.8620826872341859,0.8936408583561614,0.8807598821656788,257.50105118751526,71502aefa23c48e3b7097ad20a550f9d,0.9897959183673469,0.8389830508474576,0.8648648648648649,0.8461538461538461,0.8411214953271028,0.8448275862068966,0.9021739130434783
resnet50,2,42,final,0.8866398092433795,25,0.8948374760994264,0.8996416347803992,0.8762838862909609,0.8996416347803992,0.8954919766374172,280.68377923965454,64814eb7a6c9497faa9cc65044bdacd5,0.96875,0.8844621513944223,0.8,0.88,0.8627450980392157,0.9166666666666666,0.8938547486033519
resnet50,3,42,final,0.8811753033069332,10,0.8776290630975143,0.9131770904254793,0.8639077737750939,0.9131770904254793,0.8788859104568583,187.63992977142334,50e75e156cbc48dab0204a247e58c6c1,0.968421052631579,0.8189655172413793,0.7674418604651163,0.9166666666666666,0.8,0.9411764705882353,0.9555555555555556
resnet50,4,42,final,0.8836329055732408,23,0.8908045977011494,0.9098563012262227,0.8647668502359578,0.9098563012262227,0.8908568360057325,278.74919271469116,f929d2d5dd744314af9d45246a42f489,0.9680851063829787,0.860655737704918,0.8918918918918919,0.8461538461538461,0.8653846153846154,0.8235294117647058,0.9297297297297298
resnet50,0,137,final,0.8778944977093727,17,0.8718929254302104,0.9021869117401177,0.8632593851807421,0.9021869117401177,0.8723634516350032,259.0221962928772,1f8d36e9f96945408d33400b1bcd67ab,0.9693877551020408,0.847457627118644,0.7951807228915663,0.96,0.8076923076923077,0.8666666666666667,0.898876404494382
resnet50,1,137,final,0.8643046986770017,15,0.8776290630975143,0.8868927236045987,0.8483620698658071,0.8868927236045987,0.8781642429955546,237.30621552467346,aae8a769c0b44d9a8d179919e5b8d5cc,0.9791666666666666,0.859375,0.8378378378378378,0.7857142857142857,0.8316831683168316,0.8813559322033898,0.875
resnet50,2,137,final,0.897397730757289,18,0.892925430210325,0.9112031238304193,0.8891301984227857,0.9112031238304193,0.8943082091043048,267.2713599205017,ebd8a93ac309434d9d2d45264c5054ef,0.9740932642487047,0.8688524590163934,0.75,1.0,0.8811881188118812,0.9333333333333333,0.8743169398907104
resnet50,3,137,final,0.8878728296555715,16,0.9082217973231358,0.9109037786621109,0.8712453689023152,0.9109037786621109,0.9088051774910543,250.89195132255554,d5649590e1da48aab3554b61e8126a16,0.9895833333333334,0.8924302788844621,0.8157894736842105,0.8,0.8656716417910447,0.905982905982906,0.9456521739130435
resnet50,4,137,final,0.8395787271711922,19,0.8659003831417624,0.8726132628934768,0.8203649644470715,0.8726132628934768,0.8676832639413177,279.8721046447754,89207fe905184e01bd039259bf0284ec,0.9473684210526315,0.8571428571428571,0.775,0.7142857142857143,0.845771144278607,0.8448275862068966,0.8926553672316384
resnet50,0,2026,final,0.8788046295029621,12,0.8833652007648184,0.9103313532568466,0.8575784988352996,0.9103313532568466,0.8838662395691865,212.1414771080017,e28fff26261c4bd6880680acd380a552,0.9633507853403142,0.8512396694214877,0.8717948717948718,0.8571428571428571,0.8490566037735849,0.8333333333333334,0.9257142857142857
resnet50,1,2026,final,0.8795572653599908,17,0.8910133843212237,0.8930751430770449,0.8691465284933996,0.8930751430770449,0.8917936645542576,258.56209349632263,3f26c21748884a1f9cf327c358e0c413,0.968421052631579,0.8870967741935484,0.821917808219178,0.8461538461538461,0.8720379146919431,0.8869565217391304,0.8743169398907104
resnet50,2,2026,final,0.8771703829866475,23,0.8833652007648184,0.8899989291916112,0.8668393070882514,0.8899989291916112,0.8836868830613536,278.94204235076904,90c7255f5c4a448cbe0140800a699d3a,0.9637305699481865,0.8695652173913043,0.8108108108108109,0.88,0.8656716417910447,0.8852459016393442,0.8651685393258427
resnet50,3,2026,final,0.875200956161045,17,0.8891013384321224,0.8953626127172454,0.8611960894215913,0.8953626127172454,0.8899044772083478,241.48008394241333,db1a65a64c5d4c1398865f3ebf6bb16e,0.968421052631579,0.8627450980392157,0.7692307692307693,0.8333333333333334,0.8426395939086294,0.9152542372881356,0.9347826086956522
resnet50,4,2026,final,0.8589243063523344,12,0.8716475095785441,0.8974384582596294,0.8366548217688674,0.8974384582596294,0.8715996970841172,210.32642364501953,df72ce362960446c83f090768de37125,0.9587628865979382,0.8373983739837398,0.8831168831168831,0.7586206896551724,0.8374384236453202,0.8421052631578947,0.8950276243093923
efficientnet_b0,0,42,final,0.8262986375705232,23,0.8623326959847036,0.8817376656227848,0.8041542527645055,0.8817376656227848,0.8660803455167762,242.8371319770813,19707d686582466db637b2902b5485a8,0.9740932642487047,0.8235294117647058,0.8,0.5789473684210527,0.8469387755102041,0.864406779661017,0.8961748633879781
efficientnet_b0,1,42,final,0.8241971864371826,13,0.864244741873805,0.8814754248498292,0.8121735749880031,0.8814754248498292,0.8709148477596732,191.7005157470703,ea08331ca11c44b48698bc046aa24fd9,0.9948717948717949,0.8442622950819673,0.7945205479452054,0.5333333333333333,0.8217821782178217,0.8828828828828829,0.8977272727272727
efficientnet_b0,2,42,final,0.8375312124543187,13,0.8661567877629063,0.8920439212814859,0.8133471535146256,0.8920439212814859,0.8683393771429957,192.1343286037445,c359009d36e949bba50ef7d1b1e4dd7e,0.9644670050761421,0.8438818565400844,0.8,0.6486486486486487,0.8469387755102041,0.9016393442622951,0.8571428571428571
efficientnet_b0,3,42,final,0.8403776660250427,15,0.8776290630975143,0.8981986903301086,0.8244677790322841,0.8981986903301086,0.8818386919395523,250.44190382957458,5b49923f7ac546cfaa8e0fa0bdd8dbc2,0.9738219895287958,0.8638132295719845,0.821917808219178,0.5641025641025641,0.8128342245989305,0.9230769230769231,0.9230769230769231
efficientnet_b0,4,42,final,0.8064259722655619,18,0.8601532567049809,0.8527045429092102,0.796721619931318,0.8527045429092102,0.8691177901898053,273.6304929256439,99dd8b9cf82a4b1d80ab97caa7c037a0,0.9484536082474226,0.8433734939759037,0.825,0.3902439024390244,0.8497409326424871,0.8695652173913043,0.9186046511627907
efficientnet_b0,0,137,final,0.8148114861444763,11,0.8355640535372849,0.8625212290134359,0.7905344773623172,0.8625212290134359,0.8369055469524969,174.70487236976624,54ecd8524e1f48e1b36e52ad3a7737ef,0.9538461538461539,0.8,0.7407407407407407,0.7272727272727273,0.8159203980099502,0.8103448275862069,0.8555555555555555
efficientnet_b0,1,137,final,0.8405882229573225,19,0.8661567877629063,0.8904825104246159,0.8203112795828191,0.8904825104246159,0.8690453061931876,245.12284398078918,e974a549450e4687a184d669a5407969,0.9791666666666666,0.8514056224899599,0.8421052631578947,0.6486486486486487,0.8235294117647058,0.8771929824561403,0.8620689655172413
efficientnet_b0,2,137,final,0.8101237036672311,9,0.8508604206500956,0.8628770175634646,0.7910192776848878,0.8628770175634646,0.8553664399010976,158.30257940292358,c6240043075740d59c9291c36bbd7978,0.9644670050761421,0.8514056224899599,0.7073170731707317,0.5945945945945946,0.8494623655913979,0.8760330578512396,0.8275862068965517
efficientnet_b0,3,137,final,0.8416512252362541,16,0.8680688336520076,0.880517544963938,0.8198491837439884,0.880517544963938,0.8699023524046381,224.0812041759491,972d8a94c561483e83a56ffbd5fe7f94,0.9789473684210527,0.8259109311740891,0.7733333333333333,0.6666666666666666,0.8195121951219512,0.9333333333333333,0.8938547486033519
efficientnet_b0,4,137,final,0.8210253683481836,18,0.867816091954023,0.8660851292316851,0.8041799041512122,0.8660851292316851,0.8730065428330878,244.49910378456116,2026435a0df94ca5995c157d9d0f9352,0.968421052631579,0.860655737704918,0.8051948051948052,0.5,0.83,0.8717948717948718,0.9111111111111111
efficientnet_b0,0,2026,final,0.8016573789200852,17,0.8355640535372849,0.8662316788604759,0.7788149832345688,0.8662316788604759,0.8401076497428562,285.03425669670105,9dbe0ab5db1e480bb325a1919ef5431c,0.96875,0.8067226890756303,0.7640449438202247,0.5789473684210527,0.7897435897435897,0.819672131147541,0.8837209302325582
efficientnet_b0,1,2026,final,0.8357808841784119,11,0.8661567877629063,0.8793073751218758,0.814815054774748,0.8793073751218758,0.868321862984971,205.75741934776306,1c979cc2f93a419fb0a543c09bcaeb85,0.9693877551020408,0.859504132231405,0.7901234567901234,0.6666666666666666,0.8275862068965517,0.8495575221238938,0.8876404494382022
efficientnet_b0,2,2026,final,0.8236686674444815,13,0.864244741873805,0.8805521933492536,0.8024230713528924,0.8805521933492536,0.8686232005166021,195.37660431861877,b4ed8b218f474d4e939b96ed664bef79,0.9746192893401016,0.85,0.759493670886076,0.5641025641025641,0.8465608465608465,0.9105691056910569,0.8603351955307262
efficientnet_b0,3,2026,final,0.8377861812816393,11,0.869980879541109,0.884559587139348,0.8143368380545298,0.884559587139348,0.8719522113188136,171.208092212677,23ab689664664bff8b157a3e204d8d62,0.9583333333333334,0.8489795918367347,0.8157894736842105,0.625,0.8223350253807107,0.8760330578512396,0.9180327868852459
efficientnet_b0,4,2026,final,0.8036887743172488,9,0.842911877394636,0.8553926879148275,0.7938778226830616,0.8553926879148275,0.8497554407693986,154.34473776817322,d8a4654d4fb346389abee28dae7471d8,0.9629629629629629,0.8174603174603174,0.8493150684931506,0.47619047619047616,0.8102564102564103,0.831858407079646,0.8777777777777778
vit_base_patch16_224,0,42,final,0.9109928267095574,19,0.9235181644359465,0.9404584864700217,0.8921380556884759,0.9404584864700217,0.9244849213060921,290.51437973976135,3845626a30a8469e9299d869191136c8,0.9740932642487047,0.9186991869918699,0.8607594936708861,0.8571428571428571,0.9038461538461539,0.9298245614035088,0.9325842696629213
