model,scope,n,mean_iou,pointing_game,threshold_method,percentile
resnet50,global,83,0.12398567207129492,0.27710843373493976,percentile,80.0
resnet50,Bacteria,10,0.07180675234125586,0.3,percentile,80.0
resnet50,Fungi,18,0.10078422802387088,0.2222222222222222,percentile,80.0
resnet50,Nematode,9,0.16205224209984656,0.2222222222222222,percentile,80.0
resnet50,Pest,17,0.15784840426983476,0.35294117647058826,percentile,80.0
resnet50,Phytopthora,16,0.1420413084021226,0.375,percentile,80.0
resnet50,Virus,13,0.10339024370426715,0.15384615384615385,percentile,80.0
vit_base_patch16_224,global,83,0.07551183670702476,0.07228915662650602,percentile,80.0
vit_base_patch16_224,Bacteria,10,0.066118162802236,0.1,percentile,80.0
vit_base_patch16_224,Fungi,18,0.060845675082892674,0.05555555555555555,percentile,80.0
vit_base_patch16_224,Nematode,9,0.135139647046426,0.0,percentile,80.0
vit_base_patch16_224,Pest,17,0.06824250596765025,0.058823529411764705,percentile,80.0
vit_base_patch16_224,Phytopthora,16,0.09654876621334091,0.125,percentile,80.0
vit_base_patch16_224,Virus,13,0.04537838329902179,0.07692307692307693,percentile,80.0
