path,class_name,label,split_holdout,fold_0,fold_1,fold_2,fold_3,fold_4,sha256
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\1692332350433.jpg,Bacteria,0,train_cv,train,train,train,train,val,fe0883c1430a5d7659813f1a4fea15ce1d0bf78b2c6e49c135bcf0ded7e61574
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\1692332350457.jpg,Bacteria,0,test,test_holdout,test_holdout,test_holdout,test_holdout,test_holdout,1e81ba4222bd42b8aa243bfa541e19d57be9cf8cc00f30bf02b8ad967adeefca
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\1692333303178.jpg,Bacteria,0,train_cv,train,train,train,train,val,acc44f885714c1e6b131633b4b9930e43719dc11b4689b99b7cf70d6a93eb715
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\1692333631862.jpg,Bacteria,0,train_cv,train,val,train,train,train,a67d541d361221fd8888be23c51800e0ebb0baecbaddd4b0917a99a3d8623b35
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\1692333631989.jpg,Bacteria,0,train_cv,train,train,train,train,val,daf914163df6c04b09f97fad5a555c974d5710ffc0b395aaff249b27ed7fe869
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\1692335403904.jpg,Bacteria,0,train_cv,train,train,train,val,train,4ae18bbbef2386bd6aad39a464dea7352f130d430350f9ee20e6c42b7ce385a1
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\1692336758680.jpg,Bacteria,0,train_cv,train,val,train,train,train,ac6f67921d54711bc622bd32962ca12c0f1698da645d28d44384e99d4a4e7bbb
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\1692336758926.jpg,Bacteria,0,train_cv,train,train,train,val,train,7833255d906b654a3109420c4ddd47f7e3fabe78ddca5ebbc985f7ff22e57e13
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111239.jpg,Bacteria,0,train_cv,train,train,train,train,val,5b262d730bf3a4c4c2575558464af05378bdd8201da667ff65ee973549dea3cb
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111300.jpg,Bacteria,0,train_cv,train,train,train,train,val,f383ed94fc39344e4fee64c83d04617d3b87eb93abe3c9583f08b4c5038bad47
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111318.jpg,Bacteria,0,train_cv,train,train,val,train,train,2464799776890347ca4033457d474e95244be7547e6b2ce4ececfecd51f7ab17
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111336.jpg,Bacteria,0,train_cv,val,train,train,train,train,9836c9bf7f1f322c253eba8cd6a198774f1c8b8939e36cc523a9fbe4e181426d
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111544.jpg,Bacteria,0,train_cv,train,val,train,train,train,5de9f4896979bf76d9e35b7182424f0ef7d5a28bb38effb73a35ac3268fcf46b
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111602.jpg,Bacteria,0,test,test_holdout,test_holdout,test_holdout,test_holdout,test_holdout,090214506ac2920f28b932ab0d586a3511e8c657407e1a7ca4ca28f20e68d5a0
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111615.jpg,Bacteria,0,train_cv,train,train,train,train,val,d3c3e0736543ad57c3836018fe810e94511f3516663dd039647b24a73493c896
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111657.jpg,Bacteria,0,train_cv,train,train,train,val,train,ea21731773bbc086ff635a553216ffa3d64809f06fed79d4f87b20bf8aa510f4
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111704.jpg,Bacteria,0,train_cv,train,train,val,train,train,edc8d7540a51b1227402a1c800d314a599d4a85b163f910ea2d4a26916a26547
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111708.jpg,Bacteria,0,train_cv,train,train,train,train,val,10a8b7ecb0997777620d16e8fe8a3380e3fd565750dc88bf4b3c36ffa37343e3
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111818.jpg,Bacteria,0,train_cv,val,train,train,train,train,32eeb254d4631bdf060cd28f638ee16a7988adf98de628af119ed25f6432784f
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111852.jpg,Bacteria,0,train_cv,val,train,train,train,train,10116a51caa91bcb1c9a1e6c54aab73c4bb1adc0be0f6324bf828205aad68e72
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111854.jpg,Bacteria,0,test,test_holdout,test_holdout,test_holdout,test_holdout,test_holdout,2954ad60554363b23092c2fe4286067c7b28f9573211dcfcf21be718c5cb0d9d
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111914.jpg,Bacteria,0,test,test_holdout,test_holdout,test_holdout,test_holdout,test_holdout,1691c839a02b02437fcd42005348e41023f02df6dd645b8739b0ddfbe7e03f32
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111919.jpg,Bacteria,0,train_cv,train,train,val,train,train,cf5d77c31432e2cd3dc94b78c1a5f79fefc972740e9aced23d8e639e8fb7ff29
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_111931.jpg,Bacteria,0,train_cv,val,train,train,train,train,a0ee20b4db7b414537ac3b92c2273f793f83ea61080cbf192d8fa7cec70c3d76
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_113516.jpg,Bacteria,0,train_cv,train,train,val,train,train,3042172531fed97cbf9b22215727fa98ed59f00c4572a25c28278182da556e22
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_113527.jpg,Bacteria,0,train_cv,train,train,train,train,val,6faa931ec3607c96baff8dd12653867f9e003f74a5aae3db735bfdbf76bacac6
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_113533.jpg,Bacteria,0,train_cv,train,train,val,train,train,7dceb1090a4ab54d2e10f992c29e10e97e9131e684959b440957a7ecc94cabda
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_113819.jpg,Bacteria,0,train_cv,train,train,train,train,val,f34317f107d5591a60a428456abbedec069a3058a6414eb8f474f5c7ccfb85e6
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_113821.jpg,Bacteria,0,train_cv,val,train,train,train,train,38c67c9b58ca654ec4ebe6f0fba3d568838076d7e478c4522dc7d58785feab4a
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_113825.jpg,Bacteria,0,train_cv,train,val,train,train,train,c3f009e3e3144617b81ff7c0ee7678bfe4a8d03ff3572a62dffcecf9c3bcefc9
C:\Users\Usuario\Documents\UNIR\TFM\03_Dataset\original\Bacteria\20230815_113829.jpg,Bacteria,0,train_cv,train,train,train,train,val,6bb5c8376e38c16d3d0790d6e87ef5c34f2c418bb7c46f73d3462d1cbfe9d2f9
