pair_id,sample_id,class_name,map_iou,E1,E2,E3
P00,Fungi_05,Fungi,0.0009974067424695,resnet,vit,resnet
P01,Nematode_07,Nematode,0.0020968547179231,resnet,vit,resnet
P02,Fungi_08,Fungi,0.0030483234221178,resnet,vit,resnet
P03,Pest_17,Pest,0.0053090253430832,vit,vit,resnet
P04,Fungi_04,Fungi,0.0209043283658003,resnet,vit,resnet
P05,Fungi_11,Fungi,0.0219360749185667,resnet,tie,resnet
P06,Pest_04,Pest,0.0237682342140161,tie,tie,resnet
P07,Fungi_10,Fungi,0.0241338843818562,resnet,resnet,resnet
P08,Pest_02,Pest,0.025703919464459,tie,vit,resnet
P09,Virus_00,Virus,0.0289112159114209,resnet,resnet,resnet
P10,Virus_10,Virus,0.0300200133422281,resnet,resnet,resnet
P11,Pest_03,Pest,0.0323509746438306,tie,vit,resnet
P12,Nematode_06,Nematode,0.0335736354273944,vit,vit,resnet
P13,Fungi_13,Fungi,0.0343175142989642,resnet,vit,resnet
P14,Fungi_06,Fungi,0.0394075915281445,tie,tie,resnet
P15,Nematode_05,Nematode,0.0418353576248313,tie,tie,resnet
P16,Fungi_14,Fungi,0.0419976120022841,resnet,resnet,resnet
P17,Fungi_07,Fungi,0.0419976120022841,tie,vit,resnet
P18,Virus_05,Virus,0.0450877284323423,tie,resnet,resnet
P19,Fungi_03,Fungi,0.0534158883408542,tie,vit,resnet
P20,Pest_14,Pest,0.0660151893355993,tie,vit,resnet
P21,Pest_11,Pest,0.0694799658994032,tie,tie,resnet
P22,Virus_11,Virus,0.0865587614356087,tie,tie,resnet
P23,Pest_10,Pest,0.0896851248642779,tie,vit,resnet
P24,Bacteria_07,Bacteria,0.0929485434249931,tie,vit,resnet
P25,Pest_08,Pest,0.0950952043210213,tie,tie,resnet
P26,Virus_09,Virus,0.0953342428376534,tie,tie,resnet
P27,Fungi_18,Fungi,0.0962315674494811,vit,tie,resnet
P28,Bacteria_04,Bacteria,0.0997150997150997,tie,vit,resnet
P29,Pest_07,Pest,0.1006196194549542,vit,vit,resnet
P30,Pest_16,Pest,0.1028571428571428,vit,vit,resnet
P31,Phytopthora_03,Phytopthora,0.110902047592695,vit,tie,resnet
P32,Virus_08,Virus,0.1110988098533075,resnet,tie,resnet
P33,Virus_17,Virus,0.1123670212765957,vit,tie,resnet
P34,Bacteria_08,Bacteria,0.11300876122879,vit,vit,tie
P35,Fungi_16,Fungi,0.1313193935636589,vit,tie,vit
P36,Fungi_09,Fungi,0.1313267951752902,tie,vit,resnet
P37,Phytopthora_12,Phytopthora,0.1346523459581684,vit,tie,resnet
P38,Fungi_01,Fungi,0.1367729512374695,resnet,tie,resnet
P39,Virus_12,Virus,0.1378939016096123,resnet,vit,resnet
