model,sample_id,class_name,iou,pg
resnet50,Bacteria_00,Bacteria,0.012246357379100741,0
resnet50,Bacteria_03,Bacteria,0.16479295484354506,1
resnet50,Bacteria_04,Bacteria,0.13256175841276016,1
resnet50,Bacteria_06,Bacteria,0.025107662306004714,0
resnet50,Bacteria_07,Bacteria,0.20485322184858676,0
resnet50,Bacteria_08,Bacteria,0.035359438924605496,0
resnet50,Bacteria_14,Bacteria,0.0,0
resnet50,Bacteria_15,Bacteria,0.07170332379919124,1
resnet50,Bacteria_18,Bacteria,0.0,0
resnet50,Bacteria_19,Bacteria,0.07144280589876445,0
resnet50,Fungi_00,Fungi,0.17864742344342677,1
resnet50,Fungi_01,Fungi,0.058509535655058044,0
resnet50,Fungi_02,Fungi,0.08754716981132075,0
resnet50,Fungi_03,Fungi,0.1372945297763406,0
resnet50,Fungi_04,Fungi,0.0,0
resnet50,Fungi_05,Fungi,0.12395376644081307,0
resnet50,Fungi_06,Fungi,0.08070445413353851,0
resnet50,Fungi_07,Fungi,0.08094161588362493,0
resnet50,Fungi_08,Fungi,0.052477960447939,0
resnet50,Fungi_09,Fungi,0.1581866870696251,0
resnet50,Fungi_10,Fungi,0.1862958359229335,1
resnet50,Fungi_11,Fungi,0.04136312125627327,0
resnet50,Fungi_12,Fungi,0.10988074957410562,0
resnet50,Fungi_13,Fungi,0.06998158379373849,0
resnet50,Fungi_14,Fungi,0.02962480081124149,0
resnet50,Fungi_16,Fungi,0.04858447488584475,0
resnet50,Fungi_17,Fungi,0.15948614873721925,1
resnet50,Fungi_18,Fungi,0.2106362467866324,1
resnet50,Nematode_00,Nematode,0.18931132724236172,0
resnet50,Nematode_01,Nematode,0.17135152802745546,0
resnet50,Nematode_02,Nematode,0.22048192771084338,1
resnet50,Nematode_03,Nematode,0.14096385542168674,0
resnet50,Nematode_04,Nematode,0.15787946212634227,0
resnet50,Nematode_05,Nematode,0.1921955806299953,1
resnet50,Nematode_06,Nematode,0.16905319795192225,0
resnet50,Nematode_07,Nematode,0.015579919215233698,0
resnet50,Nematode_09,Nematode,0.20165338057277826,0
resnet50,Pest_00,Pest,0.13074940523394132,0
resnet50,Pest_01,Pest,0.1276404942208051,1
resnet50,Pest_02,Pest,0.1608955223880597,0
resnet50,Pest_03,Pest,0.15520297071482825,0
resnet50,Pest_04,Pest,0.24400779198780384,0
resnet50,Pest_05,Pest,0.14044329589504026,0
resnet50,Pest_06,Pest,0.10735922137252954,1
resnet50,Pest_07,Pest,0.17945396572339578,0
resnet50,Pest_08,Pest,0.12082180956143816,0
resnet50,Pest_09,Pest,0.2225847380822911,0
resnet50,Pest_10,Pest,0.10511811023622047,1
resnet50,Pest_11,Pest,0.2340389065044134,0
resnet50,Pest_12,Pest,0.11508631473605203,0
resnet50,Pest_14,Pest,0.16300809615224104,1
resnet50,Pest_16,Pest,0.06473541908072615,0
resnet50,Pest_17,Pest,0.1949359939759036,1
resnet50,Pest_18,Pest,0.21734081672150185,1
resnet50,Phytopthora_01,Phytopthora,0.08971726425525194,0
resnet50,Phytopthora_02,Phytopthora,0.10171722236149411,0
